################################################################################
#  Typename                PDGID           Name              TeX-Name
################################################################################
0  Unidentified            0               uid               uid
91 Pythia-String           91              py-string1        string1
92 Pythia-String           92              py-string2        string2
12 Light_I=0_Meson         9000229         fJ(2220)          f_{J}(2220)
12 Light_I=0_Meson         9010229         f4(2300)          f_{4}(2300)
################################################################################
13 Strange_Meson           130             K0L               K^{0}_{L}
13 Strange_Meson           310             K0S               K^{0}_{S}
13 Strange_Meson           311             K0                K^{0}
13 Strange_Meson           321             K+                K^{+}
13 Strange_Meson           9000311         K0*(800)0         K^{*}_{0}(800)^{0}
13 Strange_Meson           9000321         K0*(800)+         K^{*}_{0}(800)^{+}
13 Strange_Meson           10311           K0*(1430)0        K^{*}_{0}()^{0}
13 Strange_Meson           10321           K0*(1430)+        K^{*}_{0}()^{+}
13 Strange_Meson           100311          K(1460)0          K(1460)^{0}
13 Strange_Meson           100321          K(1460)+          K(1460)^{+}
13 Strange_Meson           9010311         K(1830)0          K(1830)^{0}
13 Strange_Meson           9010321         K(1830)+          K(1830)^{+}
13 Strange_Meson           9020311         K0*(1950)0        K^{*}_{0}(1950)^{0}
13 Strange_Meson           9020321         K0*(1950)+        K^{*}_{0}(1950)^{+}
13 Strange_Meson           313             K*(892)0          K^{*}(892)^{0}
13 Strange_Meson           323             K*(892)+          K^{*}(892)^{+}
13 Strange_Meson           10313           K1(1270)0         K_{1}(1270)^{0}
13 Strange_Meson           10323           K1(1270)+         K_{1}(1270)^{+}
13 Strange_Meson           20313           K1(1400)0         K_{1}(1400)^{0}
13 Strange_Meson           20323           K1(1400)+         K_{1}(1400)^{+}
13 Strange_Meson           100313          K*(1410)0         K^{*}(1410)^{0}
13 Strange_Meson           100323          K*(1410)+         K^{*}(1410)^{+}
13 Strange_Meson           9000313         K1(1650)0         K_{1}(1650)^{0}
13 Strange_Meson           9000323         K1(1650)+         K_{1}(1650)^{+}
13 Strange_Meson           30313           K*(1680)0         K^{*}(1680)^{0}
13 Strange_Meson           30323           K*(1680)+         K^{*}(1680)^{+}
13 Strange_Meson           315             K2*(1430)0        K^{*}_{2}(1430)^{0}
13 Strange_Meson           325             K2*(1430)+        K^{*}_{2}(1430)^{+}
13 Strange_Meson           9000315         K2(1580)0         K_{2}(1580)^{0}
13 Strange_Meson           9000325         K2(1580)+         K_{2}(1580)^{+}
13 Strange_Meson           10315           K2(1770)0         K_{2}(1770)^{0}
13 Strange_Meson           10325           K2(1770)+         K_{2}(1770)^{+}
13 Strange_Meson           20315           K2(1820)0         K_{2}(1820)^{0}
13 Strange_Meson           20325           K2(1820)+         K_{2}(1820)^{+}
13 Strange_Meson           9010315         K2*(1980)0        K^{*}_{2}(1980)^{0}
13 Strange_Meson           9010325         K2*(1980)+        K^{*}_{2}(1980)^{+}
13 Strange_Meson           9020315         K2*(2250)0        K^{*}_{2}(2250)^{0}
13 Strange_Meson           9020325         K2*(2250)+        K^{*}_{2}(2250)^{+}
13 Strange_Meson           317             K3*(1780)0        K^{*}_{3}(1780)^{0}
13 Strange_Meson           327             K3*(1780)+        K^{*}_{3}(1780)^{+}
13 Strange_Meson           9010317         K3(2320)0         K_{3}(2320)^{0}
13 Strange_Meson           9010327         K3(2320)+         K_{3}(2320)^{+}
13 Strange_Meson           319             K4*(2045)0        K^{*}_{4}(2045)^{0}
13 Strange_Meson           329             K4*(2045)+        K^{*}_{4}(2045)^{+}
13 Strange_Meson           9000319         K4(2500)0         K_{4}(2500)^{0}
13 Strange_Meson           9000329         K4(2500)+         K_{4}(2500)^{+}
################################################################################
14 Charmed_Meson           411             D+                D^{+}
14 Charmed_Meson           421             D0                D^{0}
14 Charmed_Meson           10411           D0*(2400)+        D_{0}^{*}(2400)^{+}
14 Charmed_Meson           10421           D0*(2400)0        D_{0}^{*}(2400)^{0}
14 Charmed_Meson           413             D*(2010)+         D^{*}(2010)^{+}
14 Charmed_Meson           423             D*(2007)0         D^{*}(2007)^{0}
14 Charmed_Meson           10413           D1(2420)+         D_{1}(2420)^{+}
14 Charmed_Meson           10423           D1(2420)0         D_{1}(2420)^{0}
14 Charmed_Meson           20413           D1(H)+            D_{1}(H)^{+}
14 Charmed_Meson           20423           D1(2430)0         D_{1}(2430)^{0}
14 Charmed_Meson           415             D2*(2460)+        D_{2}^{*}(2460)^{+}
14 Charmed_Meson           425             D2*(2460)0        D_{2}^{*}(2460)^{0}
14 Charmed_Meson           431             Ds+               D_{s}^{+}
14 Charmed_Meson           10431           Ds0*(2317)+       D_{s0}^{*}(2317)^{+}
14 Charmed_Meson           433             Ds*+              D_{s}^{*+}
14 Charmed_Meson           10433           Ds1(2536)+        D_{s1}(2536)^{+}
14 Charmed_Meson           20433           Ds1(2460)+        D_{s1}(2460)^{+}
14 Charmed_Meson           435             Ds2*(2573)+       D_{s2}^{*}(2573)^{+}
################################################################################
15 Bottom_Meson            511             B0                B^{0}
15 Bottom_Meson            521             B+                B^{+}
15 Bottom_Meson            10511           B0*0              B_{0}^{*0}
15 Bottom_Meson            10521           B0*+              B_{0}^{*+}
15 Bottom_Meson            513             B*0               B^{*0}
15 Bottom_Meson            523             B*+               B^{*+}
15 Bottom_Meson            10513           B1(L)0            B_{1}(L)^{0}
15 Bottom_Meson            10523           B1(L)+            B_{1}(L)^{+}
15 Bottom_Meson            20513           B1(H)0            B_{1}(H)^{0}
15 Bottom_Meson            20523           B1(H)+            B_{1}(H)^{+}
15 Bottom_Meson            515             B2*0              B_{2}^{*0}
15 Bottom_Meson            525             B2*+              B_{2}^{*+}
15 Bottom_Meson            531             Bs0               B_{s}^{0}
15 Bottom_Meson            10531           Bs0*0             B_{s0}^{*0}
15 Bottom_Meson            533             Bs*0              B_{s}^{*0}
15 Bottom_Meson            10533           Bs1(L)0           B_{s1}(L)^{0}
15 Bottom_Meson            20533           Bs1(H)0           B_{s1}(H)^{0}
15 Bottom_Meson            535             Bs2*0             B_{s2}^{*0}
15 Bottom_Meson            541             Bc+               B_{c}^{+}
15 Bottom_Meson            10541           Bc0*+             B_{c0}^{*+}
15 Bottom_Meson            543             Bc*+              B_{c}^{*+}
15 Bottom_Meson            10543           Bc1(L)+           B_{c1}(L)^{+}
15 Bottom_Meson            20543           Bc1(H)+           B_{c1}(H)^{+}
15 Bottom_Meson            545             Bc2*+             B_{c2}^{*+}
################################################################################
16 cc_Meson                441             eta_c(1S)         \eta_{c}(1S)
16 cc_Meson                10441           chi_c0(1P)        \chi_{c0}(1P)
16 cc_Meson                100441          eta_c(2S)         \eta_{c}(2S)
16 cc_Meson                443             J/Psi(1S)         J/\psi(1S)
16 cc_Meson                10443           h_c(1P)           h_{c}(1P)
16 cc_Meson                20443           chi_c1(1P)        \chi_{c1}(1P)
16 cc_Meson                100443          psi(2S)           \psi(2S)
16 cc_Meson                30443           psi(3770)         \psi(3770)
16 cc_Meson                9000443         psi(4040)         \psi(4040)
16 cc_Meson                9010443         psi(4160)         \psi(4160)
16 cc_Meson                9020443         psi(4415)         \psi(4415)
16 cc_Meson                445             chi_c2(1P)        \chi_{c2}(1P)
16 cc_Meson                100445          chi_c2(2P)        \chi_{c2}(2P)
################################################################################
17 bb_Meson                551             eta_b(1S)         \eta_{b}(1S)
17 bb_Meson                10551           chi_b0(1P)        \chi_{b0}(1P)
17 bb_Meson                100551          eta_b(2S)         \eta_{b}(2S)
17 bb_Meson                110551          chi_b0(2P)        \chi_{b0}(2P)
17 bb_Meson                200551          eta_b(3S)         \eta_{b}(3S)
17 bb_Meson                210551          chi_b0(3P)        \chi_{b0}(3P)
17 bb_Meson                553             Upsilon(1S)       \Upsilon(1S)
17 bb_Meson                10553           h_b(1P)           h_{b}(1P)
17 bb_Meson                20553           chi_b1(1P)        \chi_{b1}(1P)
17 bb_Meson                30553           Upsilon_1(1D)     \Upsilon_{1}(1D)
17 bb_Meson                100553          Upsilon(2S)       \Upsilon(2S)
17 bb_Meson                110553          h_b(2P)           h_{b}(2P)
17 bb_Meson                120553          chi_b1(2P)        \chi_{b1}(2P)
17 bb_Meson                130553          Upsilon(2D)       \Upsilon(2D)
17 bb_Meson                200553          Upsilon(3S)       \Upsilon(3S)
17 bb_Meson                210553          h_b(3P)           h_{b}(3P)
17 bb_Meson                220553          chi_b1(3P)        \chi_{b1}(3P)
17 bb_Meson                300553          Upsilon(4S)       \Upsilon(4S)
17 bb_Meson                900055          Upsilon(10860)    \Upsilon(10860)
17 bb_Meson                901055          Upsilon(11020)    \Upsilon(11020)
17 bb_Meson                555             chi_b2(1P)        \chi_{b2}(1P)
17 bb_Meson                10555           eta_b2(1D)        \eta_{b2}(1D)
17 bb_Meson                20555           Upsilon_2(1D)     \Upsilon_{2}(1D)
17 bb_Meson                100555          chi_b2(2P)        \chi_{b2}(2P)
17 bb_Meson                110555          eta_b2(2D)        \eta_{b2}(2D)
17 bb_Meson                120555          Upsilon_2(2D)     \Upsilon_{2}(2D)
17 bb_Meson                200555          chi_b2(3P)        \chi_{b2}(3P)
17 bb_Meson                557             Upsilon_3(1D)     \Upsilon_{3}(1D)
17 bb_Meson                100557          Upsilon_3(2D)     \Upsilon_{3}(2D)
################################################################################
18 Light_Baryon            2212            p                 p
18 Light_Baryon            2112            n                 n
18 Light_Baryon            2224            Delta++           \Delta^{++}
18 Light_Baryon            2214            Delta+            \Delta^{+}
18 Light_Baryon            2114            Delta0            \Delta^{0}
18 Light_Baryon            1114            Delta-            \Delta^{-}
################################################################################
19 Strange_Baryon          3122            Lambda            \Lambda
19 Strange_Baryon          3222            Sigma+            \Sigma^{+}
19 Strange_Baryon          3212            Sigma0            \Sigma^{0}
19 Strange_Baryon          3112            Sigma-            \Sigma^{-}
19 Strange_Baryon          3224            Sigma*+           \Sigma^{*+}
19 Strange_Baryon          3214            Sigma*0           \Sigma^{*0}
19 Strange_Baryon          3114            Sigma*-           \Sigma^{*-}
19 Strange_Baryon          3322            Xi0               \Xi^{0}
19 Strange_Baryon          3312            Xi-               \Xi^{-}
19 Strange_Baryon          3324            Xi*0              \Xi^{*0}
19 Strange_Baryon          3314            Xi*-              \Xi^{*-}
19 Strange_Baryon          3334            Omega-            \Omega^{-}
################################################################################
20 Charmed_Baryon          4122            Lambda_c+         \Lambda_{c}^{+}
20 Charmed_Baryon          4222            Sigma_c++         \Sigma_{c}^{++}
20 Charmed_Baryon          4212            Sigma_c+          \Sigma_{c}^{+} 
20 Charmed_Baryon          4112            Sigma_c0          \Sigma_{c}^{0} 
20 Charmed_Baryon          4224            Sigma_c*++        \Sigma_{c}^{*++}
20 Charmed_Baryon          4214            Sigma_c*+         \Sigma_{c}^{*+}
20 Charmed_Baryon          4114            Sigma_c*0         \Sigma_{c}^{*0}
20 Charmed_Baryon          4232            Xi_c+             \Xi_{c}^{+}  
20 Charmed_Baryon          4132            Xi_c0             \Xi_{c}^{0}  
20 Charmed_Baryon          4322            Xi_c'+            \Xi_{c}'^{+} 
20 Charmed_Baryon          4312            Xi_c'0            \Xi_{c}'^{0} 
